isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST WEST 178 0
true false WEST EAST 177 10
true false EAST EAST 177 10
true false EAST WEST 176 20
true false WEST EAST 176 20
true false EAST EAST 176 20
true false EAST NORTH 175 30
true false NORTH EAST 175 30
true false EAST NORTH 174 40
true false NORTH NORTH 174 40
true false NORTH EAST 174 40
true false EAST NORTH 173 50
true false NORTH EAST 173 50
true false EAST WEST 172 60
true false WEST SOUTH 172 60
true false SOUTH NORTH 171 70
true false NORTH SOUTH 171 70
true false SOUTH SOUTH 171 70
true false SOUTH SOUTH 170 80
true false SOUTH EAST 170 80
true false EAST EAST 170 80
true false EAST WEST 170 80
true false WEST NORTH 169 90
true false NORTH EAST 169 90
true false EAST EAST 169 90
true false EAST WEST 169 90
true false WEST SOUTH 169 90
true false SOUTH WEST 169 90
true false WEST SOUTH 168 100
true false SOUTH NORTH 168 100
true false NORTH EAST 168 100
true false EAST SOUTH 168 100
true false SOUTH WEST 168 100
true false WEST NORTH 168 100
true false NORTH WEST 168 100
true false WEST WEST 167 110
true false WEST SOUTH 167 110
true false SOUTH EAST 166 120
true false EAST SOUTH 166 120
true false SOUTH WEST 165 130
true false WEST SOUTH 164 140
true false SOUTH NORTH 164 140
true false NORTH WEST 164 140
true false WEST EAST 163 -2147483499
true false EAST EAST 163 -2147483499
true false EAST WEST 163 -2147483499
true false WEST WEST 163 -2147483499
true false WEST WEST 163 -2147483499
true false WEST EAST 162 158
true false EAST WEST 162 158
true false WEST EAST 162 158
true false EAST EAST 162 158
true false EAST EAST 162 158
true false EAST SOUTH 162 158
true false SOUTH SOUTH 162 158
true false SOUTH WEST 162 158
true false WEST NORTH 162 158
true false NORTH WEST 162 158
true false WEST EAST 162 158
true false EAST SOUTH 162 158
true false SOUTH SOUTH 162 158
true false SOUTH WEST 162 158
true false WEST SOUTH 162 158
true false SOUTH SOUTH 162 158
true false SOUTH WEST 162 158
true false WEST EAST 162 158
true false EAST WEST 162 158
true false WEST SOUTH 162 158
true false SOUTH NORTH 162 158
true false NORTH EAST 162 158
true false EAST EAST 162 158
true false EAST WEST 162 158
true false WEST SOUTH 162 158
true false SOUTH WEST 162 158
true false WEST WEST 162 158
true false WEST EAST 161 -2147483481
true false EAST SOUTH 161 -2147483481
true false SOUTH NORTH 161 -2147483481
true false NORTH SOUTH 161 -2147483481
true false SOUTH WEST 161 -2147483481
true false WEST SOUTH 161 -2147483481
true false SOUTH WEST 161 -2147483481
true false WEST NORTH 160 176
true false NORTH WEST 160 176
true false WEST EAST 159 -2147483463
true false EAST NORTH 159 -2147483463
true false NORTH EAST 159 -2147483463
true false EAST NORTH 159 -2147483463
true false NORTH WEST 159 -2147483463
true false WEST EAST 159 -2147483463
true false EAST EAST 159 -2147483463
true false EAST NORTH 159 -2147483463
true false NORTH NORTH 159 -2147483463
true false NORTH NORTH 159 -2147483463
true false NORTH NORTH 159 -2147483463
true false NORTH EAST 159 -2147483463
true false EAST EAST 159 -2147483463
true false EAST WEST 159 -2147483463
true false WEST EAST 159 -2147483463
true false EAST SOUTH 159 -2147483463
true false SOUTH EAST 159 -2147483463
true false EAST WEST 159 -2147483463
true false WEST NORTH 159 -2147483463
true false NORTH SOUTH 159 -2147483463
true false SOUTH SOUTH 159 -2147483463
true false SOUTH NORTH 159 -2147483463
true false NORTH SOUTH 159 -2147483463
true false SOUTH SOUTH 159 -2147483463
true false SOUTH WEST 159 -2147483463
true false WEST SOUTH 159 -2147483463
true false SOUTH EAST 159 -2147483463
true false EAST WEST 159 -2147483463
true false WEST EAST 159 -2147483463
true false EAST NORTH 159 -2147483463
true false NORTH WEST 159 -2147483463
true false WEST NORTH 159 -2147483463
true false NORTH WEST 158 -2147483453
true false WEST WEST 158 -2147483453
true false WEST EAST 158 -2147483453
true false EAST NORTH 158 -2147483453
true false NORTH EAST 157 -2147483443
true false EAST NORTH 157 -2147483443
true false NORTH SOUTH 157 -2147483443
true false SOUTH SOUTH 157 -2147483443
true false SOUTH WEST 157 -2147483443
true false WEST NORTH 157 -2147483443
true false NORTH NORTH 157 -2147483443
true false NORTH SOUTH 157 -2147483443
true false SOUTH EAST 157 -2147483443
true false EAST NORTH 157 -2147483443
true false NORTH WEST 157 -2147483443
true false WEST NORTH 157 -2147483443
true false NORTH WEST 157 -2147483443
true false WEST NORTH 156 214
true false NORTH NORTH 156 214
true false NORTH NORTH 156 214
true false NORTH SOUTH 156 214
true false SOUTH WEST 156 214
true false WEST EAST 155 -2147483425
true false EAST SOUTH 155 -2147483425
