isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST EAST 178 0
true false EAST NORTH 177 10
true false NORTH EAST 176 20
true false EAST EAST 176 20
true false EAST NORTH 176 20
true false NORTH SOUTH 175 30
true false SOUTH WEST 175 30
true false WEST NORTH 175 30
true false NORTH NORTH 175 30
true false NORTH EAST 175 30
true false EAST SOUTH 174 40
true false SOUTH EAST 174 40
true false EAST WEST 173 50
true false WEST EAST 173 50
true false EAST EAST 173 50
true false EAST NORTH 172 60
true false NORTH NORTH 172 60
true false NORTH SOUTH 172 60
true false SOUTH SOUTH 172 60
true false SOUTH WEST 172 60
true false WEST NORTH 172 60
true false NORTH NORTH 172 60
true false NORTH SOUTH 172 60
true false SOUTH SOUTH 172 60
true false SOUTH SOUTH 172 60
true false SOUTH NORTH 172 60
true false NORTH NORTH 172 60
true false NORTH EAST 172 60
true false EAST SOUTH 172 60
true false SOUTH WEST 172 60
true false WEST SOUTH 172 60
true false SOUTH WEST 172 60
true false WEST SOUTH 172 60
true false SOUTH SOUTH 172 60
true false SOUTH NORTH 172 60
true false NORTH NORTH 172 60
true false NORTH WEST 172 60
true false WEST NORTH 172 60
true false NORTH SOUTH 172 60
true false SOUTH EAST 172 60
true false EAST WEST 172 60
true false WEST SOUTH 172 60
true false SOUTH EAST 172 60
true false EAST EAST 171 70
true false EAST EAST 170 80
true false EAST EAST 169 90
true false EAST WEST 168 100
true false WEST EAST 168 100
true false EAST SOUTH 168 100
true false SOUTH NORTH 168 100
true false NORTH SOUTH 168 100
true false SOUTH NORTH 168 100
true false NORTH SOUTH 168 100
true false SOUTH NORTH 168 100
true false NORTH NORTH 168 100
true false NORTH EAST 168 100
true false EAST NORTH 167 110
true false NORTH WEST 166 120
true false WEST WEST 166 120
true false WEST NORTH 166 120
true false NORTH EAST 165 130
true false EAST SOUTH 164 140
true false SOUTH WEST 164 140
true false WEST SOUTH 164 140
true false SOUTH EAST 164 140
true false EAST WEST 164 140
true false WEST NORTH 164 140
true false NORTH NORTH 164 140
true false NORTH SOUTH 163 150
true false SOUTH WEST 163 150
true false WEST EAST 162 -2147483489
true false EAST WEST 162 -2147483489
true false WEST SOUTH 162 -2147483489
true false SOUTH NORTH 162 -2147483489
true false NORTH SOUTH 162 -2147483489
true false SOUTH WEST 162 -2147483489
true false WEST WEST 162 -2147483489
true false WEST WEST 162 -2147483489
true false WEST SOUTH 162 -2147483489
true false SOUTH NORTH 162 -2147483489
true false NORTH WEST 162 -2147483489
true false WEST EAST 162 -2147483489
true false EAST SOUTH 162 -2147483489
true false SOUTH SOUTH 162 -2147483489
true false SOUTH NORTH 162 -2147483489
true false NORTH EAST 162 -2147483489
true false EAST EAST 162 -2147483489
true false EAST WEST 162 -2147483489
true false WEST SOUTH 162 -2147483489
true false SOUTH WEST 162 -2147483489
true false WEST EAST 162 -2147483489
true false EAST NORTH 162 -2147483489
true false NORTH SOUTH 162 -2147483489
true false SOUTH NORTH 162 -2147483489
true false NORTH NORTH 162 -2147483489
true false NORTH EAST 162 -2147483489
true false EAST WEST 162 -2147483489
true false WEST SOUTH 162 -2147483489
true false SOUTH EAST 162 -2147483489
